cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
86725.31,2022-02-02,100190.47,0.00190467,0.00190467,0.0,13.4396,0.00190467,2,0.0
86725.31,2022-02-03,100061.47,0.02221746,0.00187141,-0.00315897,13.328,-0.00128756,2,-0.02350502
86725.31,2022-02-04,100042.19,-0.00489499,-0.00081935,0.00062673,13.3113,-0.00019262,2,0.00470236
86725.31,2022-02-07,100124.81,0.00403529,0.00125305,-0.00042722,13.3828,0.00082583,2,-0.00320945
76719.64,2022-02-08,100333.44,-0.00614446,0.00098254,0.00110116,23.5353,0.0020837,3,0.00822816
76719.64,2022-02-09,100503.39,-0.01294205,-0.00175073,0.00344462,23.6646,0.00169388,3,0.01463594
76719.64,2022-02-10,100354.74,0.01648644,0.0027724,-0.00425147,23.5516,-0.00147907,3,-0.01796552
76719.64,2022-02-11,100075.36,0.01693489,0.00186016,-0.00464409,23.3381,-0.00278393,3,-0.01971882
76719.64,2022-02-14,99676.97,-0.00071164,-0.00321791,-0.00076298,23.0317,-0.00398089,3,-0.00326925
76719.64,2022-02-15,100276.03,-0.01011681,0.00229572,0.00371428,23.4916,0.00601,3,0.01612681
80029.21,2022-02-16,100472.39,0.00083754,0.00169496,0.00026327,20.3471,0.00195823,2,0.00112068
80029.21,2022-02-17,99606.29,0.0127409,-0.00427396,-0.00434638,19.6545,-0.00862034,2,-0.02136124
80029.21,2022-02-18,99664.05,0.00705496,0.00185252,-0.00127264,19.701,0.00057988,2,-0.00647508
80029.21,2022-02-22,99348.42,0.00756472,-0.00105271,-0.00211425,19.4459,-0.00316696,2,-0.01073168
82112.03,2022-02-23,98770.29,0.01191951,-0.00236971,-0.00344944,16.8657,-0.00581915,3,-0.01773866
82112.03,2022-02-24,98364.2,-0.01916084,-0.00664967,0.00253817,16.5224,-0.0041115,3,0.01504934
69381.17,2022-02-25,98725.61,-0.01838957,2.872e-05,0.00364547,29.7232,0.00367419,5,0.02206376
69381.17,2022-02-28,98473.31,2.92e-06,-0.00179509,-0.00076046,29.5432,-0.00255555,5,-0.00255847
