attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_rs_divergence,relative_divergence_pct,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,stock_lookback_return_pct,stop,symbol
1,,,,30.0,379166119.51,2016-10-12,False,575,13.142,0.1862579517578693,2016-12-01,12.4975,stop,-7.45575316976228,-4.713742048242131,13.1073,35,12.51,12.784396,,50,2016-10-11,2.88747313521891,20,13.153542,2.7420111215201493,,-7.64201112152015,-4.9,12.51,13.35,True,,,,Unknown,276,13.1611,2016-10-11,,,12.51,AVGO
1,,,,30.0,178926902.3,2016-10-14,False,577,62.7722,0.1838376543757816,2016-12-01,57.982,stop,-10.47265539543255,-7.446162345624218,62.5242,33,58.04,55.565648,,50,2016-10-13,6.2031635085043835,20,59.012476,3.026493049808332,,-10.656493049808333,-7.63,58.04,62.73,True,,,,Unknown,57,62.347,2016-10-13,,,58.04,SWKS
1,,,,30.0,83999178.75,2016-11-10,False,596,81.0822,0.18196493335304353,2016-12-30,74.521,stop,-11.562685416711515,-7.908035066646956,79.8388,34,74.5956,76.757766,,50,2016-11-09,0.34290732223758447,20,77.020974,3.654650350064559,,-11.744650350064559,-8.09,73.49,81.64,True,,,,Unknown,45,80.8239,2016-11-09,,,74.5956,VRSN
1,,,,30.0,215143990.57,2016-10-20,False,581,37.4156,0.24735934664607484,2017-01-18,45.5063,timeout,15.225090192314239,21.867359346646076,37.3373,60,35.89,36.52854,,50,2016-10-19,2.3470141429140057,20,37.38587,6.642269154331837,,14.977730845668164,21.62,35.89,37.76,False,,,,Unknown,97,37.1805,2016-10-19,,,35.89,VLO
1,,,,30.0,48372415.53,2016-12-07,False,614,15.7273,0.18073249777216027,2017-02-02,14.4466,stop,-9.968382159372457,-7.95926750222784,16.1262,38,14.4691,15.47856,,50,2016-12-06,0.6329270939932519,20,15.576528000000001,2.0091146571446172,,-10.149114657144619,-8.14,14.3,16.23,True,,,,Unknown,232,15.6771,2016-12-06,,,14.4691,HRB
1,,,,30.0,107004376.16,2016-11-30,False,609,50.6694,0.22218612882399924,2017-02-28,55.8233,timeout,2.458685025314611,10.392186128824,50.4521,60,48.0,48.545767999999995,,50,2016-11-29,-0.9818610759232294,20,48.069116,7.933501103509388,,2.2364988964906116,10.17,48.0,49.88,False,,,,Unknown,71,48.4857,2016-11-29,,,48.0,DOV
1,,,,30.0,82294232.82,2016-12-23,False,626,55.1236,0.21074334811266882,2017-03-23,56.7633,timeout,-0.9565103534064257,3.180743348112669,55.54,60,50.7137,49.563468,,50,2016-12-22,5.949442440145636,20,52.512218000000004,4.137253701519095,,-1.1672537015190945,2.97,45.47,49.68,True,,,,Unknown,66,55.083,2016-12-22,,,50.7137,EMN
1,,,,30.0,97395433.03,2017-01-31,False,650,60.4239,0.24519331087691043,2017-04-27,73.7117,timeout,16.913671744603118,22.23519331087691,60.0506,60,58.81,60.262092,,50,2017-01-30,0.09558911429758954,20,60.319696,5.32152156627379,,16.668478433726207,21.99,58.81,60.89,True,,,,Unknown,60,60.6765,2017-01-30,,,58.81,HAS
1,,,,30.0,59793718.45,2017-03-01,False,670,31.5015,0.18200438951402553,2017-04-27,28.9524,stop,-7.848767417284875,-7.907995610485974,31.43,40,28.9814,27.946399999999997,,50,2017-02-28,4.713308333094801,20,29.2636,-0.05922819320109962,,-8.0307718067989,-8.09,28.9,31.13,True,,,,Unknown,116,31.1,2017-02-28,,,28.9814,TDC
1,,,,70.0,83568305.5,2017-02-17,False,663,80.6779,0.2197958728282181,2017-05-16,88.7534,timeout,7.662947466352765,10.229795872828218,81.0701,60,74.2237,78.34055599999999,,50,2017-02-16,0.8097619322487537,20,78.974928,2.5668484064754526,,7.443151593524547,10.01,73.49,81.64,True,,,,Unknown,106,80.6958,2017-02-16,,,74.2237,VRSN
1,,,,30.0,120558679.6,2017-02-27,False,541,66.3463,0.234738033499859,2017-05-23,78.1817,timeout,16.394343146578304,18.07473803349986,67.62,60,61.0386,55.643,,50,2017-02-24,8.22673112520893,20,60.220600000000005,1.6803948869215546,,16.159605113078445,17.84,52.82,56.97,True,,,,Unknown,55,66.19,2017-02-24,,,61.0386,QRVO
1,,,,30.0,140882680.15,2017-02-27,False,668,277.277,0.20999638627797346,2017-05-23,296.0936,timeout,5.319601499356419,6.9999963862779735,275.69,60,255.0948,258.5272,,50,2017-02-24,2.872657113061994,20,265.9538,1.6803948869215546,,5.1096051130784454,6.79,248.55,273.99,True,,,,Unknown,13,276.33,2017-02-24,,,255.0948,ULTA
1,,,,30.0,69520260.44,2017-03-09,False,676,40.9675,0.20673839153120488,2017-06-05,42.0332,timeout,-0.6515792740247051,2.806738391531205,41.0289,60,38.34,38.994888,,50,2017-03-08,0.6311340091552431,20,39.240998,3.45831766555591,,-0.8583176655559099,2.6,38.34,41.75,True,,,,Unknown,87,40.9344,2017-03-08,,,38.34,GRMN
1,,,,30.0,67195399.24,2017-07-24,False,770,32.6989,0.18378687915440928,2017-07-28,29.3845,stop,-9.992666972227614,-9.956213120845591,32.4814,4,30.58,31.703577999999997,,50,2017-07-21,0.049527532822946085,20,31.719279999999998,0.036453851382023394,,-10.176453851382025,-10.14,30.58,33.4,True,,,,Unknown,113,32.7031,2017-07-21,,,30.58,GT
1,,,,30.0,143371360.98,2017-05-23,False,728,217.0273,0.18197650716296465,2017-08-01,199.4654,stop,-11.438971425443189,-7.908023492837035,215.8856,48,199.6651,201.196526,,50,2017-05-22,2.4659322398041805,20,206.157896,3.5309479326061544,,-11.620947932606153,-8.09,192.34,209.81,True,,,,Unknown,17,216.5489,2017-05-22,,,199.6651,MLM
1,,,,30.0,326839809.25,2017-06-05,False,736,68.3846,0.19496045815792096,2017-08-29,66.668,timeout,-3.156914355256346,-2.315039541842079,66.4104,60,62.95,67.871032,,50,2017-06-02,-1.0879427912632966,20,67.132634,0.8418748134142673,,-3.351874813414267,-2.51,62.95,67.52,False,,,,Unknown,54,68.232,2017-06-02,,,62.95,ADI
1,,,,30.0,226738436.17,2017-09-22,False,813,32.2085,0.19148448415814023,2017-11-07,30.1099,stop,-10.028781912256623,-6.328515515841859,32.0877,32,30.14,31.051188000000003,,50,2017-09-21,1.2997892383376453,20,31.454787999999997,3.700266396414764,,-10.220266396414765,-6.52,30.14,32.28,True,,,,Unknown,114,32.2516,2017-09-21,,,30.14,TJX
1,,,,100.0,228087401.49,2017-11-14,False,850,89.7509,0.1819361717169814,2017-12-01,82.4882,stop,-10.51934640990031,-7.9080638282830185,90.7135,12,82.5708,84.969372,,50,2017-11-13,2.2482877712689087,20,86.879728,2.6112825816172913,,-10.701282581617292,-8.09,82.36,88.27,True,,,,Unknown,113,89.9712,2017-11-13,,,82.5708,SWKS
1,,,,30.0,71874635.0,2017-09-11,False,677,72.4123,0.19540203816212964,2017-12-05,71.968,timeout,-6.5484422334046055,-0.41459796183787034,72.63,60,66.6194,69.5307,,50,2017-09-08,-0.8824878794546742,20,68.9171,6.133844271566735,,-6.7438442715667355,-0.61,64.7,70.27,False,,,,Unknown,51,71.61,2017-09-08,,,66.6194,QRVO
1,,,,30.0,104154200.03,2017-10-02,False,819,65.6722,0.20979975989520572,2017-12-27,68.89,timeout,-1.3765380932290627,5.109799759895206,67.0528,60,60.4184,58.066787999999995,,50,2017-09-29,5.5734751507178215,20,61.303126,6.486337853124269,,-1.5863378531242684,4.9,59.17,62.07,True,,,,Unknown,56,65.8165,2017-09-29,,,60.4184,PRGO
1,,,,30.0,180440179.53,2017-11-02,False,842,130.7686,0.20096296352024678,2018-01-31,133.5233,timeout,-7.685819107101754,2.3109629635202467,128.6215,60,120.78,123.82077,,50,2017-11-01,1.1939967745314473,20,125.299186,9.996782070622,,-7.886782070622001,2.11,120.78,126.06,True,,,,Unknown,28,130.3881,2017-11-01,,,120.78,CB
1,,,,70.0,34004850.66,2017-12-08,False,867,18.2965,0.19282573147846538,2018-02-05,17.4625,stop,-4.28019971105903,-4.367174268521534,18.2432,38,17.48,17.28702,,50,2017-12-07,3.6632571721441964,20,17.920288,-0.08697455746250471,,-4.4730254425374945,-4.56,17.48,18.23,True,,,,Unknown,472,18.1733,2017-12-07,,,17.48,JEF
1,,,,100.0,121409530.99,2018-01-05,False,885,77.5941,0.1820188173755204,2018-02-06,71.3152,stop,-6.338887789822456,-7.9079811826244795,78.0739,21,71.3866,72.932866,,50,2018-01-04,2.9008101779518514,20,75.04851,-1.5690933928020234,,-6.520906607197976,-8.09,71.19,75.1,True,,,,Unknown,124,77.2976,2018-01-04,,,71.3866,PRU
1,,,,30.0,157546247.19,2018-02-05,False,905,82.3842,0.18203583573909476,2018-02-09,75.7177,stop,-6.987268383587885,-7.907964164260905,79.1876,4,75.7935,73.060418,,50,2018-02-02,6.485681480771155,20,77.798884,-0.9206957806730198,,-7.16930421932698,-8.09,74.37,77.64,True,,,,Unknown,44,83.0515,2018-02-02,,,75.7935,STT
1,,,,70.0,112633275.68,2017-11-20,False,854,43.8077,0.21776087779557685,2018-02-16,47.4835,timeout,2.333642866755258,8.607760877795577,43.8357,60,40.3031,42.249759999999995,,50,2017-11-17,2.24383759813076,20,43.197776000000005,6.274118011040319,,2.115881988959681,8.39,39.67,42.03,True,,,,Unknown,197,43.7719,2017-11-17,,,40.3031,SYY
1,,,,70.0,521656920.33,2018-03-15,False,931,76.6966,0.1859030517910929,2018-03-20,72.4375,stop,-4.285950933546712,-5.364096948208907,76.33,3,72.51,75.1921,,50,2018-03-14,2.7510868827975266,20,77.2607,-1.0781460146621957,,-4.471853985337804,-5.55,72.51,80.5,False,,,,Unknown,107,76.7,2018-03-14,,,72.51,ESRX
